curr_time	id	question	score
-47624	1419	q1_9	0.85
34920	1419	q0_11	0
862820	1419	q2_15	1
997031	1419	q3_8	1
2151069	1419	q6_11	0.823529412
2827981	1419	q8_0	0.25
2859266	1419	q5_10	0
3015385	1419	q7_10	1
3017004	1419	q5_10	0
3022238	1419	q1_9	0.85
4909075	1419	q5_10	0.659090909
5422701	1419	q8_0	0.583333333
5424487	1419	q6_11	0.823529412
5427496	1419	q3_8	1
5430017	1419	q2_15	1
5841790	1419	q0_11	1
5843795	1419	q2_15	1
5844374	1419	q0_11	1
5955752	1419	q1_9	0.85
5959191	1419	q2_15	1
5985345	1419	q3_8	1
5990625	1419	q1_9	0.85
5995503	1419	q0_11	1
5997181	1419	q2_15	1
6007875	1419	q3_8	1
6008916	1419	q6_11	0.823529412
6019267	1419	q8_0	0.583333333
6022274	1419	q5_10	0.659090909
6145952	1419	q7_10	1
6806424	1419	q2_15	1
7659749	1419	q6_11	0.823529412
7663128	1419	q1_9	0.85
7665360	1419	q8_0	0.583333333
7666310	1419	q5_10	0.659090909
7819063	1419	q6_11	0.823529412
7824487	1419	q5_10	0.659090909
7829774	1419	q8_0	0.583333333
8527478	1419	q5_10	0.659090909
8824122	1419	q1_9	0.85
692106	6239	q2_3	0.9
1459633	6239	q6_15	0.428571429
1498945	6239	q4_7	0
1634100	6239	q7_5	0.888888889
1703744	6239	q5_14	0.076923077
1730031	6239	q3_2	0.285714286
1761441	6239	q0_1	0
2743663	6239	q1_7	0.166666667
2746939	6239	q2_3	0.9
2904425	6239	q6_15	0.428571429
3239135	6239	q4_7	0.714285714
3241215	6239	q7_5	0.888888889
3258421	6239	q5_14	0.076923077
3289968	6239	q3_2	0.285714286
4018429	6239	q5_14	0.384615385
4026455	6239	q3_2	0.285714286
4050951	6239	q0_1	0
4052245	6239	q1_7	0.166666667
4111819	6239	q6_15	0.428571429
4120561	6239	q4_7	0.714285714
4125082	6239	q7_5	0.888888889
4142684	6239	q5_14	0.384615385
4144425	6239	q3_2	0.285714286
4144950	6239	q6_15	0.428571429
4145841	6239	q2_3	0.9
4479950	6239	q6_15	0.428571429
4481136	6239	q1_7	0.166666667
4484113	6239	q0_1	0
4489192	6239	q3_2	0.285714286
4494016	6239	q0_1	0
4689570	6239	q1_7	0.333333333
4690425	6239	q0_1	0
4691882	6239	q5_14	0.384615385
6044966	6239	q3_2	0.571428571
6514010	6239	q0_1	0.714285714
6517073	6239	q1_7	0.333333333
6522616	6239	q3_2	0.571428571
6742278	6239	q0_1	0.571428571
6788817	6239	q1_7	0.333333333
6789829	6239	q5_14	0.384615385
6791460	6239	q7_5	0.888888889
6792459	6239	q5_14	0.384615385
6794155	6239	q3_2	0.571428571
6794668	6239	q0_1	0.571428571
6795139	6239	q3_2	0.571428571
6796011	6239	q5_14	0.384615385
6797649	6239	q7_5	0.888888889
6803527	6239	q4_7	0.714285714
6962501	6239	q6_15	0.714285714
7207573	6239	q1_7	0.5
7587095	6239	q2_3	0.9
7853135	6239	q6_15	0.714285714
7933545	6239	q4_7	0.714285714
7998064	6239	q7_5	0.888888889
8280967	6239	q5_14	0.384615385
8316991	6239	q3_2	0.714285714
-8990794	6239	q0_1	0.357142857
-8038827	6239	q1_7	1
-139009	8407	q2_3	0
-138975	8407	q6_0	0
-138934	8407	q4_3	0
-138918	8407	q7_5	0
-138907	8407	q5_8	0
-138882	8407	q3_12	0
-138857	8407	q0_0	0
-137560	8407	q1_2	0
-136429	8407	q2_3	0
-135175	8407	q6_0	0
386403	8407	q2_3	0
828693	8407	q6_0	0.051282051
831117	8407	q4_3	0
1059890	8407	q7_5	0.666666667
1748656	8407	q5_8	0.5
1752735	8407	q7_5	0.666666667
1770178	8407	q5_8	0.583333333
1772940	8407	q3_12	0
1810484	8407	q5_8	0.583333333
2099559	8407	q3_12	0.857142857
2103130	8407	q0_0	0
2104973	8407	q1_2	0
2109348	8407	q0_0	0
2110458	8407	q2_3	0
2111739	8407	q6_0	0.051282051
2112745	8407	q4_3	0
2113966	8407	q7_5	0.666666667
2136179	8407	q4_3	0
2603265	8407	q6_0	0.217948718
2605550	8407	q4_3	0
2701786	8407	q7_5	0.777777778
2702390	8407	q6_0	0.217948718
2710740	8407	q2_3	0
3799712	8407	q6_0	0.705128205
4492033	8407	q4_3	1
4496588	8407	q7_5	0.777777778
4502384	8407	q5_8	0.583333333
4508405	8407	q3_12	0.857142857
5669757	8407	q0_0	0.571428571
6685153	8407	q1_2	0
7288958	8407	q2_3	0.5
7307504	8407	q6_0	0.705128205
7316374	8407	q4_3	1
7580931	8407	q6_0	0.705128205
7783512	8407	q4_3	1
7786989	8407	q7_5	0.777777778
7793935	8407	q5_8	0.583333333
7799994	8407	q3_12	0.857142857
7807928	8407	q0_0	0.571428571
7813407	8407	q1_2	0
7818164	8407	q0_0	0.571428571
7819309	8407	q3_12	0.857142857
7822236	8407	q5_8	0.583333333
7823359	8407	q7_5	0.777777778
7971622	8407	q4_3	1
7972888	8407	q7_5	0.777777778
7977054	8407	q4_3	1
8014723	8407	q5_8	0.583333333
8033499	8407	q3_12	0.857142857
8233981	8407	q0_0	1
9065049	8407	q1_2	0.384615385
9069862	8407	q0_0	1
9075352	8407	q3_12	0.857142857
9081311	8407	q5_8	0.583333333
9088485	8407	q7_5	0.777777778
9092593	8407	q4_3	1
9095753	8407	q6_0	0.705128205
29827	11283	q2_14	0
34456	11283	q6_15	0
36487	11283	q4_3	0
40764	11283	q7_3	0
-193876	11283	q2_14	0
95640	11283	q7_3	0.888888889
157057	11283	q5_8	0.25
162123	11283	q1_9	0
879457	11283	q0_0	0.857142857
891872	11283	q1_9	0.05
892488	11283	q3_12	0
895192	11283	q0_0	0.857142857
908201	11283	q3_12	0
916993	11283	q5_8	0.25
918886	11283	q7_3	0.888888889
922630	11283	q4_3	0
924282	11283	q6_15	0
925938	11283	q2_14	0
1249074	11283	q4_3	1
1252180	11283	q7_3	0.888888889
1313050	11283	q5_8	0.25
1711239	11283	q1_9	0.8
1714080	11283	q0_0	0.857142857
2380402	11283	q3_12	0.714285714
2382938	11283	q0_0	0.857142857
2385660	11283	q1_9	0.8
2388607	11283	q5_8	0.25
2390526	11283	q7_3	0.888888889
2392764	11283	q4_3	1
2396022	11283	q6_15	0
2399947	11283	q2_14	0
2400599	11283	q6_15	0
2402042	11283	q4_3	1
3082012	11283	q6_15	0.714285714
3084151	11283	q4_3	1
3085120	11283	q7_3	0.888888889
3087594	11283	q2_14	0
3090649	11283	q6_15	0.714285714
3092620	11283	q4_3	1
3094176	11283	q7_3	0.888888889
3141690	11283	q5_8	0.25
3186669	11283	q2_14	0
4133502	11283	q5_8	0.75
4136016	11283	q3_12	0.714285714
4892178	11283	q2_14	0.572727273
4892700	11283	q6_15	0.714285714
4893554	11283	q4_3	1
4899200	11283	q7_3	0.888888889
4944879	11283	q1_9	0.85
4948792	11283	q0_0	0.857142857
4953226	11283	q3_12	0.714285714
4960587	11283	q5_8	0.75
4965872	11283	q7_3	0.888888889
4969357	11283	q4_3	1
4979098	11283	q6_15	0.714285714
5328124	11283	q2_14	0.572727273
5723244	11283	q1_9	0.85
6043158	11283	q0_0	1
6465728	11283	q3_12	0.857142857
6506089	11283	q5_8	0.75
6508796	11283	q0_0	1
6514033	11283	q5_8	0.75
6546631	11283	q7_3	0.888888889
6852577	11283	q4_3	1
6854392	11283	q6_15	0.714285714
6857023	11283	q4_3	1
7269669	11283	q6_15	0.571428571
7549756	11283	q2_14	0.572727273
7560817	11283	q5_8	0.75
7669889	11283	q0_0	1
7714375	11283	q5_8	0.75
8007651	11283	q2_14	0.663636364
8631	12264	q2_11	0
9702	12264	q6_5	0
10566	12264	q4_2	0
11439	12264	q7_6	0
13333	12264	q5_14	0
15894	12264	q3_10	0
16874	12264	q0_9	0
18744	12264	q1_6	0
-185085	12264	q2_11	0
887478	12264	q4_2	0.666666667
889115	12264	q7_6	0
1136763	12264	q4_2	1
1734647	12264	q7_6	0.55
1863833	12264	q5_14	0.076923077
1899359	12264	q7_6	0.55
1967131	12264	q5_14	0.076923077
1996224	12264	q3_10	0
1997163	12264	q0_9	0
1998811	12264	q1_6	0
2064106	12264	q5_14	0.076923077
2065197	12264	q7_6	0.55
2068769	12264	q4_2	1
2069889	12264	q6_5	0.976744186
2099855	12264	q2_11	0
2876694	12264	q5_14	0.692307692
2878827	12264	q7_6	0.55
2884792	12264	q4_2	1
3034410	12264	q5_14	0.846153846
3055739	12264	q3_10	0
3056658	12264	q2_11	0
3057021	12264	q3_10	0
3058240	12264	q0_9	0
3058975	12264	q6_5	0.976744186
3059798	12264	q4_2	1
3060513	12264	q7_6	0.55
3061995	12264	q5_14	0.846153846
3301852	12264	q1_6	0
3372574	12264	q0_9	0
3902023	12264	q1_6	1
3984844	12264	q3_10	0
3994959	12264	q0_9	0
4017360	12264	q2_11	0
4021226	12264	q3_10	0
4023662	12264	q1_6	1
4027463	12264	q0_9	0
4293264	12264	q3_10	0.65
4596979	12264	q0_9	0.1875
4616349	12264	q3_10	0.65
4619037	12264	q1_6	1
4620356	12264	q0_9	0.1875
4621837	12264	q2_11	0
5165294	12264	q0_9	0.75
5919511	12264	q2_11	0.103448276
5926103	12264	q6_5	0.976744186
6032094	12264	q2_11	0.103448276
6290482	12264	q6_5	1
6541705	12264	q4_2	1
6807265	12264	q7_6	0.8
6973618	12264	q5_14	0.846153846
6974729	12264	q3_10	0.65
6977630	12264	q5_14	0.846153846
7006466	12264	q3_10	0.65
7089926	12264	q0_9	0.75
7609156	12264	q1_6	1
-1244441	15898	q1_2	1
-1243130	15898	q0_6	0
-1232906	15898	q1_2	1
-577077	15898	q0_6	1
590504	15898	q2_15	1
1330393	15898	q3_6	0.818181818
2367371	15898	q6_8	1
2578058	15898	q4_1	1
5233734	15898	q5_12	0.833333333
5595382	15898	q7_3	1
6082379	15898	q5_12	0.833333333
6088065	15898	q4_1	1
6097929	15898	q6_8	1
6098413	15898	q0_6	1
-359340	18770	q2_13	0.041666667
-99463	18770	q2_13	0.041666667
157905	18770	q6_5	0.906976744
460356	18770	q4_11	0.885714286
726805	18770	q7_6	0.65
916119	18770	q5_6	0.833333333
1065946	18770	q3_12	0.857142857
1381838	18770	q0_14	0.805555556
1752829	18770	q1_9	0.85
2090718	18770	q2_13	0.166666667
2095096	18770	q6_5	0.906976744
2300104	18770	q4_11	1
2305544	18770	q7_6	0.65
2308469	18770	q5_6	0.833333333
2312496	18770	q3_12	0.857142857
2366164	18770	q0_14	0.888888889
2374725	18770	q1_9	0.85
2379192	18770	q2_13	0.166666667
2646116	18770	q1_9	0.8
2793356	18770	q0_14	0.888888889
3040948	18770	q3_12	1
3043353	18770	q0_14	0.888888889
3043888	18770	q3_12	1
3223866	18770	q5_6	0.833333333
3526053	18770	q7_6	0.7
3694115	18770	q4_11	1
3992453	18770	q6_5	1
4385756	18770	q2_13	0.416666667
4414788	18770	q1_9	0.8
4419757	18770	q2_13	0.416666667
4622669	18770	q1_9	0.9
4748700	18770	q0_14	0.888888889
5003251	18770	q3_12	0.857142857
5128705	18770	q5_6	0.833333333
5351289	18770	q7_6	0.9
5459868	18770	q4_11	1
5615212	18770	q6_5	1
-290741	20896	q2_9	0
-290093	20896	q6_3	0
-289628	20896	q4_6	0
-289007	20896	q7_5	0
471867	20896	q2_9	0.555555556
477397	20896	q6_3	0
480933	20896	q4_6	0
512144	20896	q7_5	0.666666667
530902	20896	q5_14	0.076923077
536580	20896	q3_7	0
541094	20896	q0_11	0
547271	20896	q1_0	0
549725	20896	q2_9	0.555555556
2119794	20896	q6_3	0.556818182
2122610	20896	q4_6	0
2124681	20896	q2_9	0.555555556
2365074	20896	q7_5	1
2595268	20896	q4_6	1
2596293	20896	q7_5	1
3431070	20896	q5_14	0.538461538
3455823	20896	q3_7	0
3474475	20896	q0_11	0
