curr_time	id	question	score
924798	1006	q14_16	0.526666667
1503667	1006	q15_13	0.958333333
1782792	1006	q16_9	1
2743031	1006	q17_3	0.952380952
2746504	1006	q18_17	0
2747993	1006	q19_19	0
2749454	1006	q20_3	0
2755543	1006	q19_19	0
-6896837	1006	q18_17	0.115384615
-6471539	1006	q19_19	0.285714286
-5951800	1006	q20_3	1
-5789700	1006	q19_19	0.5
-5786234	1006	q18_17	0.115384615
-5425435	1006	q17_3	1
-5381093	1006	q16_9	1
-5235147	1006	q15_13	1
-5102656	1006	q14_16	0.526666667
-4768421	1006	q18_17	0.115384615
-4765565	1006	q19_19	0.5
-4760159	1006	q20_3	1
352414	1061	q14_4	0.5
355198	1061	q15_0	0
357128	1061	q14_4	0.5
913285	1061	q15_0	1
1095817	1061	q14_4	1
1440599	1061	q16_8	1
1450265	1061	q17_6	0
1451111	1061	q18_10	0
1451812	1061	q17_6	0
1453633	1061	q19_4	0
1456380	1061	q20_2	0
1464522	1061	q19_4	0
1466420	1061	q18_10	0
1473548	1061	q20_2	0
1474420	1061	q18_10	0
2442892	1061	q17_6	0.9375
2462566	1061	q18_10	0
2465221	1061	q19_4	0
2469862	1061	q20_2	0
2472553	1061	q19_4	0
2488170	1061	q18_10	0
2519143	1061	q19_4	0
4836503	1061	q18_10	0.722222222
5187711	1061	q19_4	0.5
6362479	1061	q20_2	0.666666667
6806195	1061	q14_4	1
7343581	1061	q15_0	1
7361959	1061	q16_8	1
7364004	1061	q17_6	0.9375
7364906	1061	q18_10	0.722222222
7366316	1061	q19_4	0.5
7368110	1061	q20_2	0.666666667
7369407	1061	q18_10	0.722222222
7370995	1061	q17_6	0.9375
7760907	1061	q16_8	1
8615311	1061	q17_6	1
8616347	1061	q18_10	0.722222222
9029442	1061	q19_4	0.5
9897797	1061	q20_2	0.777777778
10052497	1061	q19_4	0.666666667
10104327	1061	q18_10	0.722222222
10112625	1061	q20_2	0.777777778
10302566	1061	q18_10	0.722222222
10304141	1061	q14_4	1
10314118	1061	q18_10	0.722222222
10315963	1061	q14_4	1
10360135	1061	q18_10	0.722222222
10416467	1061	q14_4	1
-9020398	1061	q18_10	0.833333333
-9018948	1061	q17_6	1
-8967635	1061	q19_4	0.5
-8966529	1061	q20_2	0.777777778
-9179899	1061	q18_10	0.833333333
-9171796	1061	q14_4	1
-9168005	1061	q18_10	0.833333333
-9161700	1061	q14_4	1
-8929126	1061	q18_10	0.833333333
-8926103	1061	q19_4	0.5
-8689860	1061	q20_2	0.777777778
-8629513	1061	q19_4	0.5
-8627374	1061	q18_10	0.833333333
-8621165	1061	q17_6	1
-8619366	1061	q16_8	1
-8617856	1061	q15_0	1
38179	1394	q14_6	0
42928	1394	q15_2	0
45933	1394	q16_7	0
48022	1394	q17_4	0
50782	1394	q18_17	0
55905	1394	q19_8	0
58523	1394	q20_5	0
648233	1394	q14_6	0
1058636	1394	q15_2	0
1059807	1394	q16_7	0
1060681	1394	q17_4	0
1062975	1394	q18_17	0
1063744	1394	q19_8	0
1064585	1394	q20_5	0
1065134	1394	q19_8	0
1066475	1394	q18_17	0
1067779	1394	q17_4	0
1069669	1394	q16_7	0
1070703	1394	q17_4	0
1071302	1394	q16_7	0
1522758	1394	q15_2	0
2528368	1394	q16_7	0
2565281	1394	q17_4	0
2566170	1394	q16_7	0
2567794	1394	q15_2	0
2568258	1394	q14_6	0
2568702	1394	q15_2	0
2573397	1394	q17_4	0
2574715	1394	q18_17	0
2575537	1394	q19_8	0
2577361	1394	q20_5	0
2582902	1394	q19_8	0
2587519	1394	q20_5	0
2588047	1394	q18_17	0
2589648	1394	q16_7	0
2593095	1394	q18_17	0
3711885	1394	q17_4	0
3718245	1394	q18_17	0
4152042	1394	q17_4	0
4165606	1394	q18_17	0
4166555	1394	q20_5	0
4167139	1394	q19_8	0
4168711	1394	q18_17	0
4245920	1394	q17_4	0
4252717	1394	q18_17	0
4453350	1394	q17_4	0
4608674	1394	q18_17	0
5060961	1394	q19_8	0
5476416	1394	q20_5	0
5477270	1394	q18_17	0
5478356	1394	q19_8	0
5478732	1394	q20_5	0
5479212	1394	q17_4	0
5689339	1394	q20_5	0
5691621	1394	q19_8	0
5700795	1394	q18_17	0
5702459	1394	q19_8	0
5742363	1394	q18_17	0
5743471	1394	q20_5	0
7351648	1394	q18_17	0
8256187	1394	q14_6	0.666666667
8399367	1394	q15_2	0.961538462
8665744	1394	q16_7	1
