curr_time	id	question	score
304296	21590	q1_6	1
639512	21590	q0_4	0.84
907524	21590	q2_6	1
1329492	21590	q3_5	1
1823877	21590	q6_13	1
1825305	21590	q4_13	0
1827362	21590	q6_13	1
2444109	21590	q4_13	0.833333333
2669317	21590	q5_1	0.37037037
2677417	21590	q4_13	0.833333333
2908962	21590	q5_1	0.833333333
514923	22547	q1_10	1
798768	22547	q0_0	1
2199850	22547	q2_13	0.583333333
2523825	22547	q3_8	1
3201170	22547	q6_1	1
3494012	22547	q4_0	1
4474895	22547	q5_12	0.916666667
983140	34926	q1_7	1
1539973	34926	q0_10	1
2309549	34926	q2_8	1
2944333	34926	q3_11	1
3692392	34926	q6_7	0.692307692
4849594	34926	q4_1	0.882352941
5368442	34926	q5_1	0.833333333
557069	57932	q1_0	1
975179	57932	q0_6	1
1744288	57932	q2_14	0.909090909
2230800	57932	q3_5	1
2865394	57932	q6_12	0.838709677
3327327	57932	q4_2	1
4202085	57932	q5_8	0.958333333
